record_id,job_title,color
167553801,OWNER,rEd
167507451,Director of Marketing,rEd
167502501,Owner,rEd
167501051,Sr Account Manager,rEd
167450201,SEO Specialist,rEd
167470001,Marketing Manager,rEd
167455951,Owner,rEd
167450551,Consultant,rEd
167448001,Account Manager,rEd
167389401,Owner,rEd
167369551,Owner,rEd
167362201,COO,rEd
167359701,Medical aesthetician,rEd
167358951,Owned,rEd
167347201,Owner,rEd
167343051,Window&gutter cleaning,rEd
167321551,Aesthetics Practitioner,rEd
167308851,Owner,rEd
167299451,Funding Specialist,rEd
167294351,Owner,rEd
167280351,Owner,rEd
167280201,Owner,rEd
167277451,Author,rEd
167273201,Owner,rEd
167269751,Emgenier,rEd
167265801,Me,rEd
167264101,Owner,rEd
167257101,MD,rEd
167246551,Esthetician,rEd
167237201,technician,rEd
167232701,Project manager,rEd
167230651,Owner,rEd
167225002,Md,rEd
167220901,Mktg,rEd
167206101,Owner,rEd
167205401,CEO,rEd
167198651,Massage,rEd
167159451,Ownner,rEd
167155151,Broker,rEd
167133601,Sales,rEd
167121701,Principal Strategist,rEd
167118401,dev,rEd
167103451,contractor,rEd
167098801,President,rEd
167093751,Bookkeeper,rEd
167056901,founder,rEd
167019551,fishing charter captain,rEd
166998801,Marketing Analyst,rEd
166988751,Paving contractor,rEd
166967601,ceo,rEd
166878151,CMO,rEd
166948552,Creative Director,rEd
166934151,SALES REP,rEd
166928451,CEO,rEd
166897801,PM,rEd
166896351,Owner/roaster,rEd
166885851,Attorney,rEd
166858051,Owner,rEd
166841501,Owner,rEd
166818251,Intern,rEd
166810151,Creative Director,rEd
166786551,Founder,rEd
166775751,PR,rEd
166762201,Hr,rEd
165216751,Owner,rEd
165786901,Taxi service,rEd
166743701,Senior Account Manager,rEd
166742651,CEO,rEd
166737851,Manager.,rEd
166735901,owner,rEd
166703701,Co-Founder,rEd
166685801,Local Listings Account Manager,rEd
166680103,Resume service provider,rEd
166663051,Concrete interloking,rEd
166652051,Marketing Manager,rEd
166650151,Content Specialist,rEd
166648801,Manager,rEd
166648751,Mobile Notary,rEd
166648201,Content Strategist,rEd
166636051,Social Media Manager,rEd
166611101,Devloper,rEd
165155852,Product Coordinator,rEd
166595851,Sr. Client Advisor,rEd
166591101,Ceo,rEd
166570351,Manager,rEd
166543701,Owner,rEd
166526301,Owner,rEd
166469451,Sales Executive,rEd
166452301,CMO,rEd
166438101,Teacher,rEd
166397001,owner,rEd
166384151,Chef,rEd
166365501,Owner,rEd
166342451,Communications,rEd
166339501,Digital Marketing Manager,rEd
166317751,Director of Digital Marketing,rEd
166307101,astrology,rEd
166300701,Veterinary Practice Manager,rEd
166209751,Marketing manager,rEd
166204751,Owner/Lead Designer,rEd
166202801,Owner,rEd
166191751,Owner,rEd
166162553,Customer Service & Admin Assistant,rEd
166157801,Digital marketer,rEd
166158101,Broker agent,rEd
166142751,Consultant,rEd
166136851,Owner,rEd
166115501,Sales,rEd
166077351,Affiliate marketer,rEd
166078501,Owner,rEd
166074551,Owner,rEd
166069451,Marketing Consultant,rEd
166040001,Partner,rEd
166033951,Vice President- Claims,rEd
162968951,Director of Digital Marketing,rEd
166012451,Consultant,rEd
166006051,Principal,rEd
165992551,Owner,rEd
165980152,Practice Manager,rEd
165979401,mgr,rEd
165955551,designer,rEd
165918901,Manager,rEd
164739101,Assistant Manager,rEd
165853401,Manager,rEd
165848901,CEO,rEd
165805551,President/Owner,rEd
165802651,Owner,rEd
165795851,Owner,rEd
165790651,Ccgvhgd,rEd
165788551,Owner,rEd
165765001,pressure cleaning,rEd
165763951,Jewelry,rEd
165759501,Manager,rEd
165758551,Manager,rEd
165757601,Partner,rEd
165660651,Founder,rEd
165651951,CEO,rEd
165651501,CEO,rEd
165572301,Director,rEd
165552951,Owner,rEd
165539901,Owner,rEd
165522351,Co-owner,rEd
165519251,President,rEd
165508951,Realtor,rEd
165502901,Seo,rEd
165478301,VP Mktg,rEd
165474901,Ceo,rEd
165451101,Professor,rEd
165450301,Owner,rEd
165405801,Executive Director,rEd
165404151,Sales,rEd
165396951,Business owner,rEd
165372301,Manager,rEd
163435301,Manager,rEd
165330201,Owner,rEd
165311901,SEO manager,rEd
165305051,Owner,rEd
165292501,Content Creator,rEd
165291701,medical assistant/ front desk,rEd
165282301,Administrator,rEd
165219051,Owner,rEd
165245151,President,rEd
165240701,Ceo,rEd
165233651,Social Media Coach,rEd
124540201,Tester111,rEd
165120801,Design,rEd
165098351,Director,rEd
165095601,CEO,rEd
165017051,Market,rEd
164992701,CEO,rEd
164978601,Regional Director,rEd
164971451,web developer,rEd
164956601,President,rEd
164954801,Spa Manager,rEd
164954851,Owner,rEd
164951451,Consultant,rEd
164940401,Owner,rEd
164876251,Owner,rEd
164871101,Reflexologist,rEd
